word,length,freq,log_freq,concreteness,pos
pub,3,102709,11.54,4.71,NN
house,5,104153,11.554,5,NN
country,7,106711,11.578,4.17,NN
disk,4,108080,11.591,4.8,NN
library,7,113025,11.635,4.8,NN
body,4,116235,11.663,4.79,NN
text,4,124115,11.729,4.93,NN
music,5,134404,11.809,4.31,NN
word,4,138155,11.836,3.56,NN
web,3,140289,11.851,4.37,NN
company,7,156262,11.959,4.11,NN
area,4,160430,11.986,3.72,NN
server,6,163334,12.004,4.55,NN
person,6,167439,12.028,4.72,NN
data,4,203945,12.226,3.93,NN
money,5,209588,12.253,4.54,NN
address,7,221551,12.308,3.89,NN
card,4,222822,12.314,4.9,NN
lot,3,232888,12.358,3.7,NN
day,3,239111,12.385,3.92,NN
message,7,247136,12.418,3.97,NN
computer,8,253358,12.443,4.93,NN
someone,7,255347,12.45,3.71,NN
world,5,295523,12.597,4.36,NN
software,8,325439,12.693,4.08,NN
article,7,861595,13.667,4.33,NN
