word,length,freq,log_freq,concreteness,pos
nick,4,"17,831",9.789,3.87,NN|VB
leg,3,"17,838",9.789,4.83,NN|VB
filter,6,"17,869",9.791,4.59,NN|VB
heads,5,"17,890",9.792,4.63,NN|VB
remains,7,"17,899",9.793,3.46,VB|NN
buyer,5,"17,902",9.793,4.36,NN
biggest,7,"17,942",9.795,3.07,JJ|NN
citizen,7,"17,961",9.796,4.43,NN
carried,7,"17,976",9.797,3.48,VB
mount,5,"18,145",9.806,4,VB|NN
angel,5,"18,184",9.808,3.82,NN
cancer,6,"18,210",9.81,3.86,NN
lock,4,"18,221",9.81,4.65,NN|VB
loaded,6,"18,267",9.813,3.14,VB|JJ
suit,4,"18,276",9.813,4.97,NN|VB
knight,6,"18,286",9.814,4.79,NN|VB
diamond,7,"18,291",9.814,4.89,NN
hidden,6,"18,294",9.814,3.04,VB|JJ
coffee,6,"18,382",9.819,4.81,NN
math,4,"18,404",9.82,3.15,NN
steel,5,"18,414",9.821,4.87,NN|VB
camera,6,"18,427",9.822,5,NN
walking,7,"18,531",9.827,4.29,VB|NN
aid,3,"18,556",9.829,3.1,NN|VB
postage,7,"18,563",9.829,4.37,NN
chair,5,"18,589",9.83,4.58,NN|VB
combat,6,"18,625",9.832,3.67,NN
bottle,6,"18,633",9.833,4.91,NN|VB
ordered,7,"18,637",9.833,3.14,VB
dust,4,"18,645",9.833,4.4,NN|VB
closer,6,"18,665",9.834,3,JJ|RB
plane,5,"18,677",9.835,4.92,NN|VB
fail,4,"18,678",9.835,3,VB
weekly,6,"18,719",9.837,3.28,JJ|RB
delete,6,"18,824",9.843,3.48,VB|NN
labor,5,"18,853",9.844,3.08,NN|VB
den,3,"18,869",9.845,4.57,NN
gateway,7,"18,914",9.848,4.07,NN|VB
filled,6,"18,920",9.848,3.03,VB
officer,7,"18,922",9.848,4.8,NN
evening,7,"18,925",9.848,3.26,NN
blast,5,"18,943",9.849,3.9,NN|VB
wearing,7,"18,958",9.85,3.59,VB|NN
hundred,7,"18,969",9.851,3.2,minor|NN
square,6,"19,004",9.852,4.33,NN|VB|JJ
chief,5,"19,007",9.853,4.26,JJ|NN
visa,4,"19,037",9.854,4.38,NN
turning,7,"19,045",9.855,3.19,VB|NN
species,7,"19,051",9.855,3.36,NN|minor
