word,length,freq,log_freq,concreteness,pos
Friday,6,25773,10.157,3.28,NN
gas,3,25773,10.157,4.29,NN
lady,4,25980,10.165,4.33,NN
goal,4,26030,10.167,3.06,NN
Sunday,6,26241,10.175,3.32,NN
planet,6,26589,10.188,4.58,NN
beach,5,26666,10.191,4.79,NN
region,6,27072,10.206,3.19,NN
owner,5,27130,10.208,3.78,NN
fee,3,27166,10.21,3.89,NN
tree,4,27218,10.212,5,NN
river,5,27274,10.214,4.89,NN
catalog,7,27375,10.217,4.68,NN
Tony,4,27385,10.218,3.33,NN
battery,7,27473,10.221,4.67,NN
comics,6,27577,10.225,4.77,NN
metal,5,28116,10.244,4.87,NN
June,4,28477,10.257,3.4,NN
menu,4,28562,10.26,4.67,NN
cache,5,28689,10.264,3.8,NN
physics,7,29221,10.283,3.07,NN
journal,7,29244,10.283,4.63,NN
dragon,6,29320,10.286,4.39,NN
self,4,29333,10.286,3.1,NN
bidder,6,29383,10.288,3.4,NN
nation,6,29567,10.294,3.62,NN
minute,6,29713,10.299,3.04,NN
salary,6,30091,10.312,3.69,NN
flight,6,30145,10.314,3.9,NN
payment,7,30487,10.325,3.91,NN
union,5,30591,10.328,3.38,NN
episode,7,31294,10.351,3.22,NN
hill,4,31346,10.353,4.93,NN
forum,5,31556,10.36,4,NN
scene,5,31918,10.371,3.93,NN
leader,6,32758,10.397,3.89,NN
script,6,33261,10.412,4.72,NN
tool,4,33286,10.413,4.6,NN
China,5,33442,10.418,4.79,NN
hall,4,33443,10.418,4.67,NN
crime,5,33496,10.419,3.03,NN
army,4,34024,10.435,4.7,NN
mouth,5,34157,10.439,4.74,NN
entry,5,34588,10.451,3.62,NN
oil,3,34785,10.457,4.93,NN
primer,6,35025,10.464,3.82,NN
item,4,35168,10.468,4.41,NN
miles,5,35566,10.479,3.61,NN
January,7,35672,10.482,3.13,NN
income,6,35824,10.486,3.07,NN
morning,7,36262,10.499,3.44,NN
speech,6,36422,10.503,3.37,NN
sea,3,36736,10.512,4.79,NN
April,5,36958,10.518,3.33,NN
town,4,37149,10.523,4.64,NN
season,6,37562,10.534,3.32,NN
Martin,6,37729,10.538,3.48,NN
mouse,5,37838,10.541,4.83,NN
ball,4,38502,10.558,5,NN
cat,3,38649,10.562,4.86,NN
wife,4,38746,10.565,4.13,NN
Japan,5,39230,10.577,4.82,NN
engine,6,39577,10.586,4.86,NN
album,5,39796,10.592,4.69,NN
volume,6,40289,10.604,3.07,NN
girl,4,40340,10.605,4.85,NN
degree,6,42088,10.648,3,NN
mother,6,42113,10.648,4.6,NN
hair,4,42603,10.66,4.97,NN
unit,4,42634,10.66,3.77,NN
boy,3,42823,10.665,4.76,NN
edition,7,43542,10.681,3.21,NN
path,4,43722,10.686,4.41,NN
son,3,43980,10.691,4.14,NN
island,6,44872,10.712,4.96,NN
editor,6,45222,10.719,4.25,NN
van,3,45556,10.727,4.72,NN
smith,5,45658,10.729,3.81,NN
tech,4,45962,10.736,3.03,NN
hour,4,46820,10.754,3.1,NN
church,6,49074,10.801,4.9,NN
device,6,49124,10.802,3.97,NN
length,6,50773,10.835,4.07,NN
blood,5,51801,10.855,4.86,NN
suite,5,52330,10.865,4.16,NN
object,6,52354,10.866,3.66,NN
king,4,52583,10.87,4.1,NN
folks,5,53604,10.889,3.52,NN
period,6,53751,10.892,3.31,NN
door,4,53813,10.893,4.81,NN
brain,5,54113,10.899,4.69,NN
window,6,54926,10.914,4.86,NN
student,7,56461,10.941,4.92,NN
media,5,58004,10.968,3.57,NN
player,6,58218,10.972,4.15,NN
letter,6,58299,10.973,4.7,NN
energy,6,58596,10.978,3.11,NN
food,4,59724,10.997,4.8,NN
manager,7,59800,10.999,4.14,NN
song,4,59801,10.999,4.46,NN
movie,5,61248,11.023,4.59,NN
record,6,61996,11.035,4.15,NN
Tom,3,62374,11.041,3.96,NN
art,3,62513,11.043,4.17,NN
package,7,62783,11.047,4.72,NN
member,6,63948,11.066,3.07,NN
child,5,64729,11.078,4.78,NN
apple,5,65844,11.095,5,NN
woman,5,66489,11.105,4.46,NN
road,4,66722,11.108,4.75,NN
client,6,68130,11.129,3.9,NN
driver,6,69007,11.142,4.71,NN
lots,4,70143,11.158,3.3,NN
street,6,76139,11.24,4.75,NN
month,5,76300,11.242,4.2,NN
death,5,77796,11.262,3.73,NN
title,5,79977,11.289,3.32,NN
friend,6,81053,11.303,3.07,NN
Mike,4,82468,11.32,4.65,NN
guy,3,84152,11.34,4.68,NN
car,3,86253,11.365,4.89,NN
office,6,88401,11.39,4.93,NN
family,6,88710,11.393,4.23,NN
project,7,89569,11.403,3.62,NN
sale,4,95391,11.466,3.37,NN
story,5,96953,11.482,3.3,NN
night,5,97524,11.488,4.52,NN
men,3,98321,11.496,4.75,NN
city,4,102007,11.533,4.79,NN
product,7,102292,11.536,4.17,NN
pub,3,102709,11.54,4.71,NN
house,5,104153,11.554,5,NN
country,7,106711,11.578,4.17,NN
disk,4,108080,11.591,4.8,NN
week,4,109477,11.603,3.48,NN
library,7,113025,11.635,4.8,NN
body,4,116235,11.663,4.79,NN
text,4,124115,11.729,4.93,NN
music,5,134404,11.809,4.31,NN
word,4,138155,11.836,3.56,NN
example,7,139009,11.842,3.03,NN
web,3,140289,11.851,4.37,NN
news,4,149044,11.912,3.41,NN
company,7,156262,11.959,4.11,NN
days,4,158630,11.974,3.36,NN
area,4,160430,11.986,3.72,NN
server,6,163334,12.004,4.55,NN
person,6,167439,12.028,4.72,NN
John,4,181799,12.111,3.48,NN
data,4,203945,12.226,3.93,NN
money,5,209588,12.253,4.54,NN
address,7,221551,12.308,3.89,NN
card,4,222822,12.314,4.9,NN
lot,3,232888,12.358,3.7,NN
day,3,239111,12.385,3.92,NN
thing,5,243604,12.403,3.17,NN
year,4,246566,12.415,3.25,NN
message,7,247136,12.418,3.97,NN
someone,7,255347,12.45,3.71,NN
world,5,295523,12.597,4.36,NN
article,7,861595,13.667,4.33,NN
